"Star Trek Anthology" (2015)				2015-????
"Star Trek Anthology" (2015) {Another Door Opens (#1.1)}	2015
"Star Trek Begins" (2014)				2014-????
"Star Trek Cataja" (2013)				2013-????
"Star Trek Cataja" (2013) {Der Tag danach}		2015
"Star Trek Cataja" (2013) {Erste Anzeichen (#1.2)}	2013
"Star Trek Cataja" (2013) {Konfrontation (#1.4)}	2015
"Star Trek Cataja" (2013) {Unbekannte Signale (#1.3)}	2014
"Star Trek Cataja" (2013) {Wie alles begann (#1.1)}	2013
"Star Trek Continues" (2013)				2013-????
"Star Trek Continues" (2013) {(#1.7)}			2016
"Star Trek Continues" (2013) {Come Not Between the Dragons (#1.6)}	2016
"Star Trek Continues" (2013) {Divided We Stand (#1.5)}	2015
"Star Trek Continues" (2013) {Fairest of Them All (#1.3)}	2014
"Star Trek Continues" (2013) {Lolani (#1.2)}		2014
"Star Trek Continues" (2013) {Pilgrim of Eternity (#1.1)}	2013
"Star Trek Continues" (2013) {The White Iris (#1.4)}	2015
"Star Trek Dark Armada" (2006)				2006-????
"Star Trek Dark Armada" (2006) {Almost Time (#1.7)}	2014
"Star Trek Dark Armada" (2006) {Choices, Part One (#1.2)}	2009
"Star Trek Dark Armada" (2006) {Choices, Part Two (#1.3)}	2010
"Star Trek Dark Armada" (2006) {It's Dark... Get Over It (#1.5)}	2013
"Star Trek Dark Armada" (2006) {Nightfall (#1.6)}	2013
"Star Trek Dark Armada" (2006) {Out of Time (#1.8)}	2014
"Star Trek Dark Armada" (2006) {Promotion (#1.4)}	2012
"Star Trek Dark Armada" (2006) {These Are the Voyages ... (#1.0)}	2006
"Star Trek Dark Armada" (2006) {Worst Nightmare (#1.1)}	2009
"Star Trek" (1966)					1966-1969
"Star Trek" (1966) {A Piece of the Action (#2.17)}	1968
"Star Trek" (1966) {A Private Little War (#2.19)}	1968
"Star Trek" (1966) {A Taste of Armageddon (#1.23)}	1967
"Star Trek" (1966) {All Our Yesterdays (#3.23)}		1969
"Star Trek" (1966) {Amok Time (#2.1)}			1967
